epoch,train_loss,train_rmse
1,9129.3896,95.5478
2,8321.5098,91.2223
3,6758.8319,82.2121
4,5159.9105,71.8325
5,4016.7635,63.3779
6,3512.9395,59.2701
7,3020.9808,54.9634
8,2456.369,49.5618
9,1884.4645,43.4104
10,1352.3485,36.7743
11,919.0171,30.3153
12,635.5464,25.21
13,498.2368,22.3212
14,438.7213,20.9457
15,411.0275,20.2738
16,395.1444,19.8782
17,384.3524,19.6049
18,378.0562,19.4437
19,372.1168,19.2903
20,366.8411,19.1531
21,363.5431,19.0668
22,359.2983,18.9552
23,356.9842,18.894
24,352.9793,18.7877
25,350.948,18.7336
26,348.7356,18.6745
27,347.3184,18.6365
28,346.4403,18.6129
29,343.6426,18.5376
30,343.7735,18.5411
31,341.5762,18.4818
32,340.9259,18.4642
33,338.4772,18.3977
34,337.4611,18.3701
35,337.6766,18.376
36,335.9511,18.329
37,335.8829,18.3271
38,334.544,18.2905
39,333.4408,18.2604
40,332.3661,18.2309
41,334.4379,18.2876
42,331.5584,18.2087
43,331.0745,18.1955
44,330.8047,18.188
45,330.0102,18.1662
46,328.8798,18.135
47,329.1032,18.1412
48,329.0022,18.1384
49,329.3005,18.1466
50,327.4303,18.095
51,327.2954,18.0913
52,326.8555,18.0791
53,326.3037,18.0639
54,326.0294,18.0563
55,325.8633,18.0517
56,325.3299,18.0369
57,325.3477,18.0374
58,324.5332,18.0148
59,324.1516,18.0042
60,323.82,17.995
61,323.9657,17.999
62,323.2558,17.9793
63,323.557,17.9877
64,322.863,17.9684
65,322.3092,17.953
66,322.5613,17.96
67,321.7499,17.9374
68,321.4008,17.9277
69,321.8424,17.94
70,321.179,17.9215
71,320.95,17.9151
72,320.7664,17.91
73,320.7919,17.9107
74,320.1189,17.8919
75,319.9184,17.8863
76,320.1757,17.8935
77,319.7654,17.882
78,319.1142,17.8638
79,319.7267,17.8809
80,318.7375,17.8532
81,319.7838,17.8825
82,317.8556,17.8285
83,318.0312,17.8334
84,317.6404,17.8225
85,318.1119,17.8357
86,317.5976,17.8213
87,317.5643,17.8203
88,317.399,17.8157
89,317.0718,17.8065
90,316.6589,17.7949
91,316.8075,17.7991
92,317.3318,17.8138
93,317.2723,17.8121
94,317.1325,17.8082
95,316.4991,17.7904
96,317.262,17.8118
97,316.3529,17.7863
98,315.8713,17.7728
99,315.5521,17.7638
100,315.667,17.767
101,315.5032,17.7624
102,315.1744,17.7532
103,315.9012,17.7736
104,315.1831,17.7534
105,314.971,17.7474
106,314.8138,17.743
107,314.7289,17.7406
108,314.7114,17.7401
109,315.6253,17.7658
110,314.6612,17.7387
111,314.2065,17.7259
112,314.4882,17.7338
113,313.8133,17.7148
114,313.9481,17.7186
115,313.913,17.7176
116,313.8562,17.716
117,314.2167,17.7262
118,313.707,17.7118
119,312.994,17.6916
120,314.7946,17.7425
121,313.5045,17.7061
122,313.829,17.7152
123,313.2162,17.6979
124,312.4273,17.6756
125,313.2462,17.6988
126,313.1382,17.6957
127,312.6825,17.6828
128,313.3276,17.7011
129,312.6585,17.6822
130,312.3016,17.6721
131,312.9872,17.6914
132,312.6207,17.6811
133,313.2039,17.6976
134,312.2032,17.6693
135,312.0256,17.6642
136,311.5317,17.6503
137,312.3315,17.6729
138,312.646,17.6818
139,311.6262,17.6529
140,312.5612,17.6794
141,312.8887,17.6887
142,312.5004,17.6777
143,311.2381,17.6419
144,310.9454,17.6336
145,310.9874,17.6348
146,311.0321,17.6361
147,311.4893,17.6491
148,311.4515,17.648
149,310.8017,17.6296
150,311.1106,17.6383
151,310.7239,17.6274
152,310.8198,17.6301
153,311.608,17.6524
154,311.4287,17.6473
155,309.9262,17.6047
156,310.5636,17.6228
157,310.3997,17.6182
158,309.7713,17.6003
159,310.1926,17.6123
160,310.8034,17.6296
161,310.1689,17.6116
162,310.1814,17.612
163,309.9001,17.604
164,309.2637,17.5859
165,309.7478,17.5997
166,309.5054,17.5928
167,309.4175,17.5903
168,309.6338,17.5964
169,309.4694,17.5917
170,309.2453,17.5854
171,308.8074,17.5729
172,308.6201,17.5676
173,309.0539,17.5799
174,309.1908,17.5838
175,309.0478,17.5798
176,308.4419,17.5625
177,308.6261,17.5678
178,308.3575,17.5601
179,308.8772,17.5749
180,309.2091,17.5843
181,308.9356,17.5766
182,307.9007,17.5471
183,308.6288,17.5678
184,308.9127,17.5759
185,308.5115,17.5645
186,307.8867,17.5467
187,308.3201,17.559
188,308.6454,17.5683
189,308.1609,17.5545
190,307.946,17.5484
191,308.5848,17.5666
192,308.5439,17.5654
193,307.6032,17.5386
194,308.3031,17.5586
195,309.288,17.5866
196,307.4405,17.534
197,307.2969,17.5299
198,307.1163,17.5247
199,307.694,17.5412
200,307.9534,17.5486
201,307.5422,17.5369
202,307.7894,17.5439
203,308.0306,17.5508
204,307.2584,17.5288
205,307.352,17.5315
206,307.0888,17.5239
207,306.818,17.5162
208,306.8703,17.5177
209,307.6325,17.5395
210,307.0641,17.5232
211,307.3903,17.5325
212,306.9233,17.5192
213,308.0966,17.5527
214,307.2894,17.5297
215,306.2394,17.4997
216,309.0551,17.58
217,306.8415,17.5169
218,306.5607,17.5089
219,307.131,17.5252
220,306.5666,17.509
221,306.3022,17.5015
222,305.9766,17.4922
223,306.2944,17.5013
224,306.4081,17.5045
225,306.4252,17.505
226,306.5547,17.5087
227,306.403,17.5044
228,306.7226,17.5135
229,306.6406,17.5112
230,306.3325,17.5024
231,306.0508,17.4943
232,306.4758,17.5064
233,306.0678,17.4948
234,306.1035,17.4958
235,306.3331,17.5024
236,306.463,17.5061
237,305.7406,17.4854
238,306.0361,17.4939
239,306.357,17.5031
240,306.7529,17.5144
241,305.4348,17.4767
242,305.1858,17.4696
243,305.9578,17.4916
244,305.7683,17.4862
245,306.166,17.4976
246,306.1581,17.4974
247,306.0441,17.4941
248,305.5518,17.48
249,305.2491,17.4714
250,306.6465,17.5113
251,305.7231,17.4849
252,305.2887,17.4725
253,305.5619,17.4803
254,305.4561,17.4773
255,305.2485,17.4714
256,305.7352,17.4853
257,305.8338,17.4881
258,304.7658,17.4575
259,304.9564,17.463
260,305.4944,17.4784
261,305.1758,17.4693
262,305.1896,17.4697
263,304.6302,17.4537
264,304.9502,17.4628
265,305.159,17.4688
266,305.681,17.4837
267,304.8799,17.4608
268,304.8764,17.4607
269,305.6057,17.4816
270,304.9881,17.4639
271,304.9668,17.4633
272,304.7664,17.4576
273,305.6708,17.4834
274,304.757,17.4573
275,304.6369,17.4539
276,304.9801,17.4637
277,304.5634,17.4517
278,304.108,17.4387
279,305.1763,17.4693
280,304.2835,17.4437
281,304.695,17.4555
282,304.4839,17.4495
283,305.3058,17.473
284,304.0683,17.4376
285,303.9381,17.4338
286,304.2281,17.4421
287,304.8978,17.4613
288,304.7058,17.4558
289,305.1777,17.4693
290,303.9067,17.4329
291,304.7988,17.4585
292,304.2784,17.4436
293,304.5568,17.4516
294,303.7439,17.4283
295,303.5274,17.422
296,304.3206,17.4448
297,303.8472,17.4312
298,303.68,17.4264
299,304.3211,17.4448
300,304.0984,17.4384
301,303.6092,17.4244
302,303.5301,17.4221
303,303.4895,17.4209
304,304.2969,17.4441
305,303.7842,17.4294
306,303.6515,17.4256
307,304.3877,17.4467
308,303.8803,17.4322
309,304.1909,17.4411
310,304.1865,17.4409
311,303.7755,17.4292
312,303.6823,17.4265
313,303.5003,17.4213
314,304.2452,17.4426
315,305.6999,17.4843
316,304.9453,17.4627
317,304.6882,17.4553
318,304.4976,17.4499
319,304.6346,17.4538
320,304.0237,17.4363
321,303.7411,17.4282
322,303.7302,17.4279
323,303.78,17.4293
324,302.8391,17.4023
325,303.6631,17.4259
326,303.4659,17.4203
327,304.2017,17.4414
328,303.0901,17.4095
329,303.4873,17.4209
330,302.7625,17.4001
331,303.4866,17.4209
332,303.0731,17.409
333,302.9702,17.406
334,303.1761,17.412
335,302.8118,17.4015
336,302.7487,17.3997
337,302.513,17.3929
338,302.7998,17.4011
339,302.7917,17.4009
340,302.9769,17.4062
341,302.6723,17.3975
342,302.5006,17.3925
343,302.3522,17.3883
344,302.8366,17.4022
345,302.7242,17.399
346,303.4051,17.4185
347,302.393,17.3895
348,302.9439,17.4053
349,303.0945,17.4096
350,303.5494,17.4227
351,302.6566,17.397
352,304.532,17.4508
353,302.8543,17.4027
354,303.1621,17.4115
355,303.7765,17.4292
356,302.6502,17.3968
357,303.3586,17.4172
358,302.8382,17.4022
359,302.1085,17.3813
360,302.2012,17.3839
361,302.5775,17.3948
362,302.14,17.3822
363,302.5874,17.395
364,302.0515,17.3796
365,301.9554,17.3769
366,302.5173,17.393
367,302.2065,17.3841
368,301.9773,17.3775
369,302.4765,17.3919
370,302.3109,17.3871
371,302.532,17.3934
372,302.488,17.3922
373,301.9633,17.3771
374,303.2186,17.4132
375,303.1487,17.4112
376,302.0656,17.38
377,301.8763,17.3746
378,302.763,17.4001
379,302.6566,17.397
380,301.8993,17.3753
381,302.0894,17.3807
382,301.4605,17.3626
383,302.253,17.3854
384,301.7914,17.3721
385,302.3326,17.3877
386,301.9077,17.3755
387,301.7812,17.3719
388,302.1569,17.3827
389,302.2334,17.3849
390,302.9929,17.4067
391,302.4338,17.3906
392,301.6296,17.3675
393,301.3365,17.359
394,302.1851,17.3835
395,301.6021,17.3667
396,301.5312,17.3647
397,301.7247,17.3702
398,301.6074,17.3668
399,301.3204,17.3586
400,301.5925,17.3664
401,302.135,17.382
402,301.9377,17.3764
403,301.7852,17.372
404,302.2501,17.3853
405,301.8394,17.3735
406,301.1161,17.3527
407,301.0854,17.3518
408,301.5736,17.3659
409,302.2532,17.3854
410,301.5477,17.3651
411,301.5613,17.3655
412,301.1142,17.3526
413,301.6055,17.3668
414,301.3321,17.3589
415,301.6147,17.3671
416,302.2488,17.3853
417,300.7915,17.3433
418,301.187,17.3547
419,301.7315,17.3704
420,301.8021,17.3725
421,301.5471,17.3651
422,301.5848,17.3662
423,301.9811,17.3776
424,301.9158,17.3757
425,300.9585,17.3482
426,300.8866,17.3461
427,301.0985,17.3522
428,300.9993,17.3493
429,301.7719,17.3716
430,301.1947,17.355
431,300.9558,17.3481
432,301.8277,17.3732
433,301.746,17.3708
434,302.085,17.3806
435,300.6165,17.3383
436,300.2888,17.3288
437,300.8957,17.3463
438,300.8721,17.3457
439,300.9581,17.3481
440,300.4721,17.3341
441,301.1747,17.3544
442,301.827,17.3732
443,300.7415,17.3419
444,300.7584,17.3424
445,300.9707,17.3485
446,300.6005,17.3378
447,300.4914,17.3347
448,300.3034,17.3293
449,300.875,17.3457
450,300.3501,17.3306
451,301.3146,17.3584
452,300.2709,17.3283
453,301.2415,17.3563
454,301.3957,17.3608
455,300.5794,17.3372
456,300.8909,17.3462
457,300.6929,17.3405
458,300.491,17.3347
459,301.1591,17.3539
460,300.9499,17.3479
461,300.5537,17.3365
462,299.9226,17.3183
463,299.7108,17.3122
464,300.4573,17.3337
465,299.8582,17.3164
466,300.0765,17.3227
467,299.8613,17.3165
468,301.2589,17.3568
469,300.4436,17.3333
470,300.1242,17.3241
471,300.7307,17.3416
472,300.3792,17.3315
473,300.2786,17.3285
474,300.1029,17.3235
475,300.5851,17.3374
476,300.2592,17.328
477,300.3279,17.33
478,301.6788,17.3689
479,300.1829,17.3258
480,299.9281,17.3184
481,300.335,17.3302
482,299.8529,17.3163
483,301.0136,17.3497
484,300.8487,17.345
485,299.7281,17.3127
486,299.5327,17.307
487,300.2564,17.3279
488,299.4384,17.3043
489,300.0935,17.3232
490,299.6337,17.3099
491,300.7619,17.3425
492,300.5742,17.3371
493,299.9586,17.3193
494,299.5254,17.3068
495,299.8129,17.3151
496,300.5401,17.3361
497,300.6517,17.3393
498,301.0156,17.3498
499,299.3998,17.3032
500,299.2711,17.2995
